Source,Target,Relation_Label,Weight
32540,3915,友,1
32540,439016,友,1
32540,445762,友,1
32540,445895,友,1
32540,450698,友,1
32540,512539,友,1
32540,447047,被Y推薦,1
32540,447380,被Y推薦,1
32540,93456,遭到Y的反對/攻訐,1
32540,94338,遭到Y的反對/攻訐,1
32540,11605,被Y欣賞/器重,1
32540,15353,被Y欣賞/器重,1
32540,19244,被Y欣賞/器重,1
32540,92452,被Y欣賞/器重,1
32540,189077,被Y欣賞/器重,1
32540,92180,學生為Y,1
32540,92921,為Y所著書作序,1
32540,1571,書序由Y所作,1
32540,4141,書序由Y所作,1
32540,7364,書序由Y所作,1
32540,92921,書序由Y所作,1
32540,176024,書序由Y所作,1
32540,32162,墓誌銘由Y所作,1
32540,32694,從Y遊,1
32540,173788,從Y遊,1
32540,447380,從Y遊,1
32540,189077,為Y之幕僚,1
32540,447380,為Y之幕僚,1
32540,3640,詩作為Y所稱道,1
32540,196184,以詩諷忤Y,1
32540,94367,相唱和,1
32540,445623,相唱和,1
32540,446112,相唱和,1
32540,446496,相唱和,1
32540,446738,相唱和,1
32540,446810,相唱和,1
32540,447339,相唱和,1
32540,447367,相唱和,1
32540,447855,相唱和,1
32540,450104,相唱和,1
32540,450543,相唱和,1
32540,31314,為Y作臨別贈言(送別詩、序),1
32540,93956,為Y作臨別贈言(送別詩、序),1
32540,140955,為Y作臨別贈言(送別詩、序),1
32540,175923,為Y作臨別贈言(送別詩、序),1
32540,176024,為Y作臨別贈言(送別詩、序),1
32540,184796,為Y作臨別贈言(送別詩、序),1
32540,380574,為Y作臨別贈言(送別詩、序),1
32540,445138,為Y作臨別贈言(送別詩、序),1
32540,445740,為Y作臨別贈言(送別詩、序),1
32540,445927,為Y作臨別贈言(送別詩、序),1
32540,446017,為Y作臨別贈言(送別詩、序),1
32540,446156,為Y作臨別贈言(送別詩、序),1
32540,446191,為Y作臨別贈言(送別詩、序),1
32540,446213,為Y作臨別贈言(送別詩、序),1
32540,446671,為Y作臨別贈言(送別詩、序),1
32540,446947,為Y作臨別贈言(送別詩、序),1
32540,447334,為Y作臨別贈言(送別詩、序),1
32540,447522,為Y作臨別贈言(送別詩、序),1
32540,447723,為Y作臨別贈言(送別詩、序),1
32540,447767,為Y作臨別贈言(送別詩、序),1
32540,447843,為Y作臨別贈言(送別詩、序),1
32540,447980,為Y作臨別贈言(送別詩、序),1
32540,447992,為Y作臨別贈言(送別詩、序),1
32540,448011,為Y作臨別贈言(送別詩、序),1
32540,448056,為Y作臨別贈言(送別詩、序),1
32540,448242,為Y作臨別贈言(送別詩、序),1
32540,448563,為Y作臨別贈言(送別詩、序),1
32540,448729,為Y作臨別贈言(送別詩、序),1
32540,448919,為Y作臨別贈言(送別詩、序),1
32540,449124,為Y作臨別贈言(送別詩、序),1
32540,449183,為Y作臨別贈言(送別詩、序),1
32540,449325,為Y作臨別贈言(送別詩、序),1
32540,449518,為Y作臨別贈言(送別詩、序),1
32540,450346,為Y作臨別贈言(送別詩、序),1
32540,450637,為Y作臨別贈言(送別詩、序),1
32540,512546,為Y作臨別贈言(送別詩、序),1
32540,512623,為Y作臨別贈言(送別詩、序),1
32540,512628,為Y作臨別贈言(送別詩、序),1
32540,512629,為Y作臨別贈言(送別詩、序),1
