Id,Label,Role,Location,Sentiment,Group,Color_Hex,Raw_Relation
32540,李白,Ego (中心),未知,中性,其他,#bdc3c7,
3915,杜甫,Alter (关联人),长安、洛阳、兖州,敬仰、惜别,文学山水,#27ae60,友
439016,于逖,Alter (关联人),长安,敬仰,文学山水,#27ae60,友
445762,元丹丘,Alter (关联人),嵩山、长安,敬仰,文学山水,#27ae60,友
445895,張謂,Alter (关联人),长安、江夏,敬仰,文学山水,#27ae60,友
450698,楊利物,Alter (关联人),金陵,敬仰,文学山水,#27ae60,友
512539,吳指南,Alter (关联人),蜀中,悲愤,其他,#bdc3c7,友
447047,吳筠,Alter (关联人),长安,感激,政治得意,#e74c3c,被Y推薦
447380,宋若思,Alter (关联人),浔阳,感激,政治得意,#e74c3c,被Y推薦
93456,張垍,Alter (关联人),长安,悲愤,政治贬谪,#2c3e50,遭到Y的反對/攻訐
94338,高力士,Alter (关联人),长安,悲愤,政治贬谪,#2c3e50,遭到Y的反對/攻訐
11605,蘇頲,Alter (关联人),蜀中,感激,政治得意,#e74c3c,被Y欣賞/器重
15353,賀知章,Alter (关联人),长安,狂喜、敬仰,文学山水,#27ae60,被Y欣賞/器重
19244,李隆基（唐玄宗）,Alter (关联人),长安,感激、敬仰,政治得意,#e74c3c,被Y欣賞/器重
92452,司馬承禎,Alter (关联人),天台山,敬仰,文学山水,#27ae60,被Y欣賞/器重
189077,李璘,Alter (关联人),江陵、浔阳,感激,政治贬谪,#2c3e50,被Y欣賞/器重
92180,韋渠牟,Alter (关联人),长安,惜别,文学山水,#27ae60,學生為Y
92921,李陽冰,Alter (关联人),当涂,感激,其他,#bdc3c7,為Y所著書作序
1571,宋敏求,Alter (关联人),长安,敬仰,其他,#bdc3c7,書序由Y所作
4141,樂史,Alter (关联人),长安,敬仰,其他,#bdc3c7,書序由Y所作
7364,曾鞏,Alter (关联人),长安,敬仰,其他,#bdc3c7,書序由Y所作
176024,魏顥,Alter (关联人),金陵,感激,其他,#bdc3c7,書序由Y所作
32162,李華,Alter (关联人),当涂,感激,其他,#bdc3c7,墓誌銘由Y所作
32694,賈至,Alter (关联人),长安、洛阳,敬仰,文学山水,#27ae60,從Y遊
173788,李曄,Alter (关联人),夜郎,惜别,政治贬谪,#2c3e50,從Y遊
3640,陸游,Alter (关联人),无直接互动,敬仰,其他,#bdc3c7,詩作為Y所稱道
196184,章仇兼瓊,Alter (关联人),蜀中,悲愤,政治贬谪,#2c3e50,以詩諷忤Y
94367,高霽,Alter (关联人),宣城,狂喜,文学山水,#27ae60,相唱和
445623,王惠翼,Alter (关联人),长安,敬仰,文学山水,#27ae60,相唱和
446112,張鎬,Alter (关联人),长安,敬仰,政治得意,#e74c3c,相唱和
446496,盧虛舟,Alter (关联人),庐山,敬仰,文学山水,#27ae60,相唱和
446738,崔叔封,Alter (关联人),长安,敬仰,文学山水,#27ae60,相唱和
446810,崔成甫,Alter (关联人),金陵、长安,狂喜、惜别,文学山水,#27ae60,相唱和
447339,竇公衡,Alter (关联人),长安,敬仰,文学山水,#27ae60,相唱和
447367,宋泚,Alter (关联人),长安,敬仰,文学山水,#27ae60,相唱和
